Genotype,Condition,Odor,Response.time,Experimenter,Date,Average,NR
cest-2.1,4mMTA,30pct,11.87,TB,2024-03-02,,
cest-2.1,4mMTA,30pct,7.93,TB,2024-03-02,,
cest-2.1,4mMTA,30pct,11.27,TB,2024-03-02,,
cest-2.1,4mMTA,30pct,3.63,TB,2024-03-02,,
cest-2.1,4mMTA,30pct,1.95,TB,2024-03-02,,
cest-2.1,4mMTA,30pct,8.79,TB,2024-03-02,,
cest-2.1,4mMTA,30pct,5.72,TB,2024-03-02,,
cest-2.1,4mMTA,30pct,4.12,TB,2024-03-02,6.436875,1
tbh-1,4mMTA,30pct,3.04,TB,2024-03-02,,
tbh-1,4mMTA,30pct,1.67,TB,2024-03-02,,
tbh-1,4mMTA,30pct,3,TB,2024-03-02,,
tbh-1,4mMTA,30pct,5.49,TB,2024-03-02,,
tbh-1,4mMTA,30pct,3.34,TB,2024-03-02,,
tbh-1,4mMTA,30pct,4.99,TB,2024-03-02,,
tbh-1,4mMTA,30pct,12.08,TB,2024-03-02,,
tbh-1,4mMTA,30pct,5.32,TB,2024-03-02,,
tbh-1,4mMTA,30pct,5.19,TB,2024-03-02,,
tbh-1,4mMTA,30pct,12.86,TB,2024-03-02,,
tbh-1,4mMTA,30pct,16.57,TB,2024-03-02,,
tbh-1,4mMTA,30pct,8.26,TB,2024-03-02,,
tbh-1,4mMTA,30pct,6.46,TB,2024-03-02,,
tbh-1,4mMTA,30pct,8.91,TB,2024-03-02,,
tbh-1,4mMTA,30pct,3.43,TB,2024-03-02,,
tbh-1,4mMTA,30pct,1.03,TB,2024-03-02,,
tbh-1,4mMTA,30pct,4.12,TB,2024-03-02,,
tbh-1,4mMTA,30pct,7.39,TB,2024-03-02,6.286111111,0
N2,4mMTA,30pct,9.35,TB,2024-03-02,,
N2,4mMTA,30pct,3.69,TB,2024-03-02,,
N2,4mMTA,30pct,5.56,TB,2024-03-02,,
N2,4mMTA,30pct,4.18,TB,2024-03-02,,
N2,4mMTA,30pct,3.87,TB,2024-03-02,,
N2,4mMTA,30pct,3.63,TB,2024-03-02,,
N2,4mMTA,30pct,2.37,TB,2024-03-02,,
N2,4mMTA,30pct,1.83,TB,2024-03-02,,
N2,4mMTA,30pct,6.49,TB,2024-03-02,,
N2,4mMTA,30pct,7.76,TB,2024-03-02,,
N2,4mMTA,30pct,1.93,TB,2024-03-02,,
N2,4mMTA,30pct,5.17,TB,2024-03-02,,
N2,4mMTA,30pct,1.17,TB,2024-03-02,,
N2,4mMTA,30pct,6.98,TB,2024-03-02,,
N2,4mMTA,30pct,6.62,TB,2024-03-02,,
N2,4mMTA,30pct,2.81,TB,2024-03-02,,
N2,4mMTA,30pct,5.94,TB,2024-03-02,,
N2,4mMTA,30pct,1.68,TB,2024-03-02,,
N2,4mMTA,30pct,4.65,TB,2024-03-02,,
N2,4mMTA,30pct,6.11,TB,2024-03-02,,
N2,4mMTA,30pct,5.21,TB,2024-03-02,,
N2,4mMTA,30pct,8.81,TB,2024-03-02,,
N2,4mMTA,30pct,3.15,TB,2024-03-02,4.737391304,2
N2,C40uM,30pct,1.29,TB,2024-03-02,,
N2,C40uM,30pct,2.97,TB,2024-03-02,,
N2,C40uM,30pct,9.36,TB,2024-03-02,,
N2,C40uM,30pct,1.94,TB,2024-03-02,,
N2,C40uM,30pct,9.3,TB,2024-03-02,,
N2,C40uM,30pct,4.6,TB,2024-03-02,,
N2,C40uM,30pct,3.71,TB,2024-03-02,,
N2,C40uM,30pct,14.55,TB,2024-03-02,,
N2,C40uM,30pct,11.25,TB,2024-03-02,,
N2,C40uM,30pct,5.4,TB,2024-03-02,,
N2,C40uM,30pct,9.36,TB,2024-03-02,,
N2,C40uM,30pct,11.09,TB,2024-03-02,,
N2,C40uM,30pct,8.04,TB,2024-03-02,,
N2,C40uM,30pct,2.86,TB,2024-03-02,,
N2,C40uM,30pct,14.02,TB,2024-03-02,,
N2,C40uM,30pct,8.69,TB,2024-03-02,,
N2,C40uM,30pct,6.37,TB,2024-03-02,,
N2,C40uM,30pct,7.41,TB,2024-03-02,,
N2,C40uM,30pct,13.95,TB,2024-03-02,,
N2,C40uM,30pct,2.71,TB,2024-03-02,,
N2,C40uM,30pct,14.81,TB,2024-03-02,,
N2,C40uM,30pct,11.55,TB,2024-03-02,,
N2,C40uM,30pct,12.86,TB,2024-03-02,,
N2,C40uM,30pct,8.01,TB,2024-03-02,,
N2,C40uM,30pct,7.27,TB,2024-03-02,8.1348,4
tbh-1,C40uM,30pct,2.38,TB,2024-03-02,,
tbh-1,C40uM,30pct,4.07,TB,2024-03-02,,
tbh-1,C40uM,30pct,1.73,TB,2024-03-02,,
tbh-1,C40uM,30pct,1.33,TB,2024-03-02,,
tbh-1,C40uM,30pct,3.87,TB,2024-03-02,,
tbh-1,C40uM,30pct,3.46,TB,2024-03-02,,
tbh-1,C40uM,30pct,6.1,TB,2024-03-02,,
tbh-1,C40uM,30pct,6.72,TB,2024-03-02,,
tbh-1,C40uM,30pct,8.39,TB,2024-03-02,,
tbh-1,C40uM,30pct,6.16,TB,2024-03-02,,
tbh-1,C40uM,30pct,7.01,TB,2024-03-02,,
tbh-1,C40uM,30pct,1.84,TB,2024-03-02,,
tbh-1,C40uM,30pct,1.96,TB,2024-03-02,,
tbh-1,C40uM,30pct,7.91,TB,2024-03-02,,
tbh-1,C40uM,30pct,13.53,TB,2024-03-02,,
tbh-1,C40uM,30pct,1.94,TB,2024-03-02,,
tbh-1,C40uM,30pct,4.69,TB,2024-03-02,4.887647059,1
cest-2.1,C40uM,30pct,3.99,TB,2024-03-02,,
cest-2.1,C40uM,30pct,4.07,TB,2024-03-02,,
cest-2.1,C40uM,30pct,1.52,TB,2024-03-02,,
cest-2.1,C40uM,30pct,1.33,TB,2024-03-02,,
cest-2.1,C40uM,30pct,3.87,TB,2024-03-02,,
cest-2.1,C40uM,30pct,7.43,TB,2024-03-02,,
cest-2.1,C40uM,30pct,2.21,TB,2024-03-02,,
cest-2.1,C40uM,30pct,6.72,TB,2024-03-02,,
cest-2.1,C40uM,30pct,3.98,TB,2024-03-02,,
cest-2.1,C40uM,30pct,6.16,TB,2024-03-02,,
cest-2.1,C40uM,30pct,7.01,TB,2024-03-02,,
cest-2.1,C40uM,30pct,5.13,TB,2024-03-02,,
cest-2.1,C40uM,30pct,6.19,TB,2024-03-02,,
cest-2.1,C40uM,30pct,1.76,TB,2024-03-02,,
cest-2.1,C40uM,30pct,3.09,TB,2024-03-02,,
cest-2.1,C40uM,30pct,1.94,TB,2024-03-02,,
cest-2.1,C40uM,30pct,8.46,TB,2024-03-02,4.403529412,2
cest-2.1,OA40uM,30pct,2.61,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,1.19,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,1.91,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,3.21,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,13.71,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,10.38,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,3.67,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,2.15,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,5.36,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,11.87,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,10.77,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,8.03,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,3.51,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,11.58,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,3.4,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,18.57,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,9.12,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,5.95,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,4.19,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,9.75,TB,2024-03-02,,
cest-2.1,OA40uM,30pct,3.62,TB,2024-03-02,6.883333333,0
N2,OA40uM,30pct,3.86,TB,2024-03-02,,
N2,OA40uM,30pct,8.94,TB,2024-03-02,,
N2,OA40uM,30pct,15.72,TB,2024-03-02,,
N2,OA40uM,30pct,6.71,TB,2024-03-02,,
N2,OA40uM,30pct,4.21,TB,2024-03-02,,
N2,OA40uM,30pct,9.48,TB,2024-03-02,,
N2,OA40uM,30pct,14.99,TB,2024-03-02,,
N2,OA40uM,30pct,7.91,TB,2024-03-02,,
N2,OA40uM,30pct,2.12,TB,2024-03-02,,
N2,OA40uM,30pct,10.92,TB,2024-03-02,,
N2,OA40uM,30pct,4.13,TB,2024-03-02,,
N2,OA40uM,30pct,8.47,TB,2024-03-02,,
N2,OA40uM,30pct,11.91,TB,2024-03-02,,
N2,OA40uM,30pct,6.12,TB,2024-03-02,,
N2,OA40uM,30pct,6.42,TB,2024-03-02,,
N2,OA40uM,30pct,10.09,TB,2024-03-02,,
N2,OA40uM,30pct,1.95,TB,2024-03-02,,
N2,OA40uM,30pct,8.68,TB,2024-03-02,,
N2,OA40uM,30pct,5.14,TB,2024-03-02,,
N2,OA40uM,30pct,8.66,TB,2024-03-02,,
N2,OA40uM,30pct,9.08,TB,2024-03-02,,
N2,OA40uM,30pct,2.77,TB,2024-03-02,,
N2,OA40uM,30pct,8.14,TB,2024-03-02,7.670434783,3
tbh-1,OA40uM,30pct,11.95,TB,2024-03-02,,
tbh-1,OA40uM,30pct,1.04,TB,2024-03-02,,
tbh-1,OA40uM,30pct,11.65,TB,2024-03-02,,
tbh-1,OA40uM,30pct,4.79,TB,2024-03-02,,
tbh-1,OA40uM,30pct,1.15,TB,2024-03-02,,
tbh-1,OA40uM,30pct,7.71,TB,2024-03-02,,
tbh-1,OA40uM,30pct,2.78,TB,2024-03-02,,
tbh-1,OA40uM,30pct,13.61,TB,2024-03-02,,
tbh-1,OA40uM,30pct,9.9,TB,2024-03-02,,
tbh-1,OA40uM,30pct,5.34,TB,2024-03-02,,
tbh-1,OA40uM,30pct,19.42,TB,2024-03-02,,
tbh-1,OA40uM,30pct,2.64,TB,2024-03-02,,
tbh-1,OA40uM,30pct,5.96,TB,2024-03-02,,
tbh-1,OA40uM,30pct,10.76,TB,2024-03-02,,
tbh-1,OA40uM,30pct,6.54,TB,2024-03-02,,
tbh-1,OA40uM,30pct,6.27,TB,2024-03-02,,
tbh-1,OA40uM,30pct,4.37,TB,2024-03-02,,
tbh-1,OA40uM,30pct,7.5,TB,2024-03-02,7.41,1
tbh-1,control,30pct,8.47,TB,2024-03-11,,
tbh-1,control,30pct,4.02,TB,2024-03-11,,
tbh-1,control,30pct,10.02,TB,2024-03-11,,
tbh-1,control,30pct,4.12,TB,2024-03-11,,
tbh-1,control,30pct,3.5,TB,2024-03-11,,
tbh-1,control,30pct,1.61,TB,2024-03-11,,
tbh-1,control,30pct,6.86,TB,2024-03-11,,
tbh-1,control,30pct,3.72,TB,2024-03-11,,
tbh-1,control,30pct,1.51,TB,2024-03-11,,
tbh-1,control,30pct,5.81,TB,2024-03-11,,
tbh-1,control,30pct,2.99,TB,2024-03-11,,
tbh-1,control,30pct,6.5,TB,2024-03-11,,
tbh-1,control,30pct,2.91,TB,2024-03-11,,
tbh-1,control,30pct,8.17,TB,2024-03-11,,
tbh-1,control,30pct,13.36,TB,2024-03-11,,
tbh-1,control,30pct,0.56,TB,2024-03-11,,
tbh-1,control,30pct,1.56,TB,2024-03-11,,
tbh-1,control,30pct,4.57,TB,2024-03-11,,
tbh-1,control,30pct,1.73,TB,2024-03-11,,
tbh-1,control,30pct,2.89,TB,2024-03-11,,
tbh-1,control,30pct,14.32,TB,2024-03-11,5.2,1
tbh-1,OA40uMT,30pct,7.37,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,2.35,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,7.77,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,6.31,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,11.39,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,15.52,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,9.53,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,11.87,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,11.65,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,7.61,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,6.1,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,1.77,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,2.11,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,16.55,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,3.64,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,1.14,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,12.35,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,3.57,TB,2024-03-11,,
tbh-1,OA40uMT,30pct,1.54,TB,2024-03-11,7.375789474,2
tbh-1,controlT,30pct,6.36,TB,2024-03-11,,
tbh-1,controlT,30pct,12.35,TB,2024-03-11,,
tbh-1,controlT,30pct,3.37,TB,2024-03-11,,
tbh-1,controlT,30pct,10.64,TB,2024-03-11,,
tbh-1,controlT,30pct,5.24,TB,2024-03-11,,
tbh-1,controlT,30pct,6.06,TB,2024-03-11,,
tbh-1,controlT,30pct,4.67,TB,2024-03-11,,
tbh-1,controlT,30pct,2.64,TB,2024-03-11,,
tbh-1,controlT,30pct,7.76,TB,2024-03-11,,
tbh-1,controlT,30pct,2.62,TB,2024-03-11,,
tbh-1,controlT,30pct,7.33,TB,2024-03-11,,
tbh-1,controlT,30pct,4.09,TB,2024-03-11,,
tbh-1,controlT,30pct,2.79,TB,2024-03-11,,
tbh-1,controlT,30pct,16.67,TB,2024-03-11,,
tbh-1,controlT,30pct,1.58,TB,2024-03-11,,
tbh-1,controlT,30pct,17.49,TB,2024-03-11,6.97875,1
tbh-1,400nM,30pct,6.23,TB,2024-03-11,,
tbh-1,400nM,30pct,6.3,TB,2024-03-11,,
tbh-1,400nM,30pct,8.03,TB,2024-03-11,,
tbh-1,400nM,30pct,1.79,TB,2024-03-11,,
tbh-1,400nM,30pct,6.27,TB,2024-03-11,,
tbh-1,400nM,30pct,3.67,TB,2024-03-11,,
tbh-1,400nM,30pct,4.87,TB,2024-03-11,,
tbh-1,400nM,30pct,1.77,TB,2024-03-11,,
tbh-1,400nM,30pct,7.46,TB,2024-03-11,,
tbh-1,400nM,30pct,6.03,TB,2024-03-11,,
tbh-1,400nM,30pct,4.32,TB,2024-03-11,,
tbh-1,400nM,30pct,1.08,TB,2024-03-11,,
tbh-1,400nM,30pct,17.51,TB,2024-03-11,,
tbh-1,400nM,30pct,4.77,TB,2024-03-11,,
tbh-1,400nM,30pct,2.63,TB,2024-03-11,,
tbh-1,400nM,30pct,1.42,TB,2024-03-11,,
tbh-1,400nM,30pct,15.03,TB,2024-03-11,,
tbh-1,400nM,30pct,3.13,TB,2024-03-11,,
tbh-1,400nM,30pct,3.61,TB,2024-03-11,5.574736842,2
tbh-1,OA40uM,30pct,8.72,TB,2024-03-11,,
tbh-1,OA40uM,30pct,16.79,TB,2024-03-11,,
tbh-1,OA40uM,30pct,2.59,TB,2024-03-11,,
tbh-1,OA40uM,30pct,5.31,TB,2024-03-11,,
tbh-1,OA40uM,30pct,2.72,TB,2024-03-11,,
tbh-1,OA40uM,30pct,3.37,TB,2024-03-11,,
tbh-1,OA40uM,30pct,19.14,TB,2024-03-11,,
tbh-1,OA40uM,30pct,4.84,TB,2024-03-11,,
tbh-1,OA40uM,30pct,10.77,TB,2024-03-11,,
tbh-1,OA40uM,30pct,4.55,TB,2024-03-11,,
tbh-1,OA40uM,30pct,3.11,TB,2024-03-11,,
tbh-1,OA40uM,30pct,7.16,TB,2024-03-11,,
tbh-1,OA40uM,30pct,1.24,TB,2024-03-11,,
tbh-1,OA40uM,30pct,3.15,TB,2024-03-11,,
tbh-1,OA40uM,30pct,1.46,TB,2024-03-11,,
tbh-1,OA40uM,30pct,11.29,TB,2024-03-11,,
tbh-1,OA40uM,30pct,1.62,TB,2024-03-11,,
tbh-1,OA40uM,30pct,17.51,TB,2024-03-11,,
tbh-1,OA40uM,30pct,11.18,TB,2024-03-11,,
tbh-1,OA40uM,30pct,6.49,TB,2024-03-11,,
tbh-1,OA40uM,30pct,4.06,TB,2024-03-11,,
tbh-1,OA40uM,30pct,2.68,TB,2024-03-11,,
tbh-1,OA40uM,30pct,12.22,TB,2024-03-11,7.042173913,1
tbh-1,400nMT,30pct,19.28,TB,2024-03-11,,
tbh-1,400nMT,30pct,5.12,TB,2024-03-11,,
tbh-1,400nMT,30pct,8.72,TB,2024-03-11,,
tbh-1,400nMT,30pct,10.53,TB,2024-03-11,,
tbh-1,400nMT,30pct,16.94,TB,2024-03-11,,
tbh-1,400nMT,30pct,14.39,TB,2024-03-11,,
tbh-1,400nMT,30pct,12.59,TB,2024-03-11,,
tbh-1,400nMT,30pct,2.01,TB,2024-03-11,,
tbh-1,400nMT,30pct,11.13,TB,2024-03-11,,
tbh-1,400nMT,30pct,9.01,TB,2024-03-11,,
tbh-1,400nMT,30pct,4.66,TB,2024-03-11,,
tbh-1,400nMT,30pct,14.38,TB,2024-03-11,,
tbh-1,400nMT,30pct,2.9,TB,2024-03-11,,
tbh-1,400nMT,30pct,13.07,TB,2024-03-11,,
tbh-1,400nMT,30pct,4.16,TB,2024-03-11,,
tbh-1,400nMT,30pct,7.04,TB,2024-03-11,,
tbh-1,400nMT,30pct,14.72,TB,2024-03-11,,
tbh-1,400nMT,30pct,18.61,TB,2024-03-11,10.51444444,4
tbh-1,control,30pct,6.5,TB,2024-03-14,,
tbh-1,control,30pct,2.7,TB,2024-03-14,,
tbh-1,control,30pct,1.13,TB,2024-03-14,,
tbh-1,control,30pct,5.68,TB,2024-03-14,,
tbh-1,control,30pct,3.54,TB,2024-03-14,,
tbh-1,control,30pct,1.24,TB,2024-03-14,,
tbh-1,control,30pct,5.97,TB,2024-03-14,,
tbh-1,control,30pct,8.24,TB,2024-03-14,,
tbh-1,control,30pct,3.18,TB,2024-03-14,,
tbh-1,control,30pct,14.72,TB,2024-03-14,,
tbh-1,control,30pct,2.3,TB,2024-03-14,,
tbh-1,control,30pct,5.08,TB,2024-03-14,,
tbh-1,control,30pct,2.39,TB,2024-03-14,,
tbh-1,control,30pct,2.73,TB,2024-03-14,,
tbh-1,control,30pct,6.87,TB,2024-03-14,,
tbh-1,control,30pct,4.81,TB,2024-03-14,,
tbh-1,control,30pct,2.97,TB,2024-03-14,,
tbh-1,control,30pct,16.49,TB,2024-03-14,5.363333333,1
tbh-1,controlBac,30pct,6.59,TB,2024-03-14,,
tbh-1,controlBac,30pct,2.8,TB,2024-03-14,,
tbh-1,controlBac,30pct,18.25,TB,2024-03-14,,
tbh-1,controlBac,30pct,2.77,TB,2024-03-14,,
tbh-1,controlBac,30pct,3,TB,2024-03-14,,
tbh-1,controlBac,30pct,5.77,TB,2024-03-14,,
tbh-1,controlBac,30pct,12.34,TB,2024-03-14,,
tbh-1,controlBac,30pct,4.23,TB,2024-03-14,,
tbh-1,controlBac,30pct,1.39,TB,2024-03-14,,
tbh-1,controlBac,30pct,7.99,TB,2024-03-14,,
tbh-1,controlBac,30pct,5.48,TB,2024-03-14,,
tbh-1,controlBac,30pct,3.18,TB,2024-03-14,,
tbh-1,controlBac,30pct,1.89,TB,2024-03-14,,
tbh-1,controlBac,30pct,5.47,TB,2024-03-14,,
tbh-1,controlBac,30pct,8.32,TB,2024-03-14,,
tbh-1,controlBac,30pct,4.36,TB,2024-03-14,,
tbh-1,controlBac,30pct,1.48,TB,2024-03-14,,
tbh-1,controlBac,30pct,3.37,TB,2024-03-14,5.482222222,2
tbh-1,OA40uM,30pct,3.39,TB,2024-03-14,,
tbh-1,OA40uM,30pct,8.13,TB,2024-03-14,,
tbh-1,OA40uM,30pct,15.63,TB,2024-03-14,,
tbh-1,OA40uM,30pct,3.54,TB,2024-03-14,,
tbh-1,OA40uM,30pct,11.24,TB,2024-03-14,,
tbh-1,OA40uM,30pct,5.97,TB,2024-03-14,,
tbh-1,OA40uM,30pct,8.24,TB,2024-03-14,,
tbh-1,OA40uM,30pct,3.18,TB,2024-03-14,,
tbh-1,OA40uM,30pct,14.72,TB,2024-03-14,,
tbh-1,OA40uM,30pct,2.3,TB,2024-03-14,,
tbh-1,OA40uM,30pct,5.08,TB,2024-03-14,,
tbh-1,OA40uM,30pct,2.39,TB,2024-03-14,,
tbh-1,OA40uM,30pct,2.73,TB,2024-03-14,,
tbh-1,OA40uM,30pct,6.87,TB,2024-03-14,,
tbh-1,OA40uM,30pct,4.81,TB,2024-03-14,,
tbh-1,OA40uM,30pct,2.97,TB,2024-03-14,,
tbh-1,OA40uM,30pct,16.49,TB,2024-03-14,6.922352941,3
tbh-1,OA40uMBac,30pct,10.82,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,1.97,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,8.2,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,1.38,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,8.19,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,4.21,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,1.82,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,1.22,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,9.24,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,8.38,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,15.73,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,14.84,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,1.67,TB,2024-03-14,,
tbh-1,OA40uMBac,30pct,16.93,TB,2024-03-14,,
tbh-1,OA400nM,30pct,8.98,TB,2024-03-14,,
tbh-1,OA400nM,30pct,1.27,TB,2024-03-14,,
tbh-1,OA400nM,30pct,12.38,TB,2024-03-14,7.471428571,1
tbh-1,OA400nM,30pct,5.86,TB,2024-03-14,,
tbh-1,OA400nM,30pct,3.26,TB,2024-03-14,,
tbh-1,OA400nM,30pct,5.7,TB,2024-03-14,,
tbh-1,OA400nM,30pct,14.08,TB,2024-03-14,,
tbh-1,OA400nM,30pct,1.21,TB,2024-03-14,,
tbh-1,OA400nM,30pct,2.42,TB,2024-03-14,,
tbh-1,OA400nM,30pct,3.85,TB,2024-03-14,,
tbh-1,OA400nM,30pct,9.96,TB,2024-03-14,,
tbh-1,OA400nM,30pct,7.03,TB,2024-03-14,,
tbh-1,OA400nM,30pct,8.25,TB,2024-03-14,,
tbh-1,OA400nM,30pct,2.89,TB,2024-03-14,,
tbh-1,OA400nM,30pct,12.48,TB,2024-03-14,,
tbh-1,OA400nM,30pct,1.72,TB,2024-03-14,,
tbh-1,OA400nM,30pct,5.08,TB,2024-03-14,6.26,2
tbh-1,OA400nMBac,30pct,9.89,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,5.3,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,5.85,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,3.46,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,7.31,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,2.65,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,9.57,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,3.97,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,4.22,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,7.84,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,2.32,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,1.38,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,2.78,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,13.58,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,14.99,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,1.28,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,6.75,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,19.59,TB,2024-03-14,,
tbh-1,OA400nMBac,30pct,3.23,TB,2024-03-14,6.629473684,1
N2,OA40uMBac,30pct,10.53,TB,2024-03-17,,
N2,OA40uMBac,30pct,16.1,TB,2024-03-17,,
N2,OA40uMBac,30pct,1.37,TB,2024-03-17,,
N2,OA40uMBac,30pct,8.39,TB,2024-03-17,,
N2,OA40uMBac,30pct,5.15,TB,2024-03-17,,
N2,OA40uMBac,30pct,10.81,TB,2024-03-17,,
N2,OA40uMBac,30pct,10.8,TB,2024-03-17,,
N2,OA40uMBac,30pct,11.8,TB,2024-03-17,,
N2,OA40uMBac,30pct,13.06,TB,2024-03-17,,
N2,OA40uMBac,30pct,7.98,TB,2024-03-17,,
N2,OA40uMBac,30pct,14.27,TB,2024-03-17,,
N2,OA40uMBac,30pct,9.08,TB,2024-03-17,,
N2,OA40uMBac,30pct,12.17,TB,2024-03-17,,
N2,OA40uMBac,30pct,1.18,TB,2024-03-17,,
N2,OA40uMBac,30pct,3.08,TB,2024-03-17,,
N2,OA40uMBac,30pct,3.49,TB,2024-03-17,,
N2,OA40uMBac,30pct,8.97,TB,2024-03-17,,
N2,OA40uMBac,30pct,5.54,TB,2024-03-17,,
N2,OA40uMBac,30pct,15.51,TB,2024-03-17,,
N2,OA40uMBac,30pct,11.36,TB,2024-03-17,,
N2,OA40uMBac,30pct,14.49,TB,2024-03-17,9.291904762,4
cest-2.1,OA40uMBac,30pct,1.29,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,10.47,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,4.97,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,5.53,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,4.17,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,4.06,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,5.98,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,8.2,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,2.41,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,10.12,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,9.15,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,5.54,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,3.98,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,7.34,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,6.18,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,10.02,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,6.31,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,4.58,TB,2024-03-17,,
cest-2.1,OA40uMBac,30pct,8.39,TB,2024-03-17,6.246842105,3
cest-2.1,OA400nMBac,30pct,1.72,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,8.99,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,8.05,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,6.64,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,1.48,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,0.94,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,0.27,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,5.35,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,2.77,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,2.49,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,5.9,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,1.06,TB,2024-03-17,,
cest-2.1,OA400nMBac,30pct,8.57,TB,2024-03-17,,
